topic,label,summary,n_papers,total_citations,top_terms,rep_titles
2,Glioma Molecular Prediction,"AI models leverage MRI imaging and radiomic features to predict molecular markers and grades in gliomas, enabling non-invasive classification and prognosis.",54,2065,"tumor, gliomas, grade, idh, imaging, tumors, features, model, molecular, learning, grade gliomas, glioblastoma","Deep-learning convolutional neural networks accurately classify genetic mutations in gliomas | Radiomics in Brain Tumor: Image Assessment, Quantitative Feature Descriptors, and Machine-Learning Approaches | MR imaging-based radiomic signatures of distinct molecular subgroups of medulloblastoma | Deep transfer learning and radiomics feature prediction of survival of patients with high-grade gliomas | MRI-based deep-learning method for determining glioma MGMT promoter methylation status"
-1,Outliers / unclustered,,32,1163,"learning, imaging, ct, deep learning, ich, deep, pet, mr, images, synthetic, using, model",Deep learning in neuroradiology | Hybrid 3D/2D convolutional neural network for hemorrhage evaluation on head CT | Artificial intelligence and acute stroke imaging | Diagnostic accuracy and failure mode analysis of a deep learning algorithm for the detection of cervical spine fractures | Automated cerebral hemorrhage detection using rapid
3,Neurodegenerative Imaging,"AI-driven MRI segmentation techniques are advancing the detection and differentiation of neurodegenerative disorders such as progressive supranuclear palsy and epilepsy-related brain changes, including hippocampal atrophy and lesion identification in patients.",28,514,"palsy, supranuclear palsy, supranuclear, progressive supranuclear, brain, hippocampal, segmentation, tle, progressive, patients, using, epilepsy",Convolutional neural network–based automated segmentation of the spinal cord and contusion injury: Deep learning biomarker correlates of motor impairment in acute spinal cord injury | Convolutional neural network for automated flair lesion segmentation on clinical brain MR imaging | Development and validation of a deep learning-based automatic brain segmentation and classification algorithm for Alzheimer disease using 3D T1-weighted volumetric images | Ensemble of convolutional neural networks improves automated segmentation of acute ischemic lesions using multiparametric diffusion-weighted MRI | Combined diffusion tensor imaging and apparent transverse relaxation rate differentiate Parkinson disease and atypical parkinsonism
6,Acute Stroke AI,"AI models enhance acute ischemic stroke care by automating LVO detection, tissue core assessment, and treatment prediction from NCCT and other imaging data, improving reperfusion outcomes.",28,425,"stroke, aspects, patients, lvo, model, ncct, acute, ischemic, endovascular, learning, thrombectomy, reperfusion",Automated aspects on noncontrast CT scans in patients with acute ischemic stroke using machine learning | Evaluation of artificial intelligence-powered identification of large-vessel occlusions in a comprehensive stroke center | Resting-state brain activity for early prediction outcome in postanoxic patients in a coma with indeterminate clinical prognosis | Viz.ai Implementation of Stroke Augmented Intelligence and Communications Platform to Improve Indicators and Outcomes for a Comprehensive Stroke Center and Network | Tissue at risk and ischemic core estimation using deep learning in acute stroke
4,AI in Radiology Reports,"This cluster explores the application of artificial intelligence and natural language processing, particularly large language models like GPT, to analyze, summarize, and enhance radiology reports for improved diagnostic accuracy and clinical decision-making, with applications in CT imaging and pandemic-related studies such as COVID-19.",22,194,"reports, gpt, articles, ai, intelligence, artificial intelligence, artificial, language, natural language, language processing, ct, covid","Computer-aided diagnostic system for thyroid nodules on ultrasonography: Diagnostic performance based on the thyroid imaging reporting and data system classification and dichotomous outcomes | Analysis of stroke detection during the COVID-19 pandemic using natural language processing of radiology reports | A Review of the Opportunities and Challenges with Large Language Models in Radiology: The Road Ahead | Qualifying certainty in radiology reports through deep learning-based natural language processing | AI-Assisted Summarization of Radiologic Reports: Evaluating GPT3davinci, BARTcnn, LongT5booksum, LEDbooksum, LEDlegal, and LEDclinical"
8,DL-Based MRI Reconstruction,"Deep learning enables accelerated, high-quality 3D MRI reconstruction with improved image quality, SNR, and diagnostic accuracy while reducing scan times and rescans.",18,170,"image quality, image, snr, dl, reconstruction, quality, accelerated, dante, deep learning, 3d, deep, learning","Deep learning enables 60% accelerated volumetric brain MRI while preserving quantitative performance: A prospective, multicenter, multireader trial | A deep learning-based approach to reduce rescan and recall rates in clinical MRI examinations | Validation of a Denoising Method Using Deep Learning- Based Reconstruction to Quantify Multiple Sclerosis Lesion Load on Fast FLAIR Imaging | Deep Learning–Based Super-Resolution Reconstruction on Undersampled Brain Diffusion-Weighted MRI for Infarction Stroke: A Comparison to Conventional Iterative Reconstruction | Deep Learning-Based Reconstruction of 3D T1 SPACE Vessel Wall Imaging Provides Improved Image Quality with Reduced Scan Times: A Preliminary Study"
5,AI for Aneurysm Rupture Prediction,"AI models leverage TOF-MRA and hemodynamic data to detect and predict rupture risk in intracranial aneurysms, enhancing early diagnosis and clinical decision-making.",14,419,"aneurysms, rupture, mra, 50mm, tof, aneurysm, tof mra, intracranial aneurysms, intracranial, based, cerebral aneurysms, hemodynamic",Deep learning-based detection of intracranial aneurysms in 3D TOF-MRA | Artificial intelligence in the management of intracranial aneurysms: Current status and future perspectives | Machine learning-based prediction of small intracranial aneurysm rupture status using CTA-derived hemodynamics: A multicenter study | Deep learning-based software improves clinicians' detection sensitivity of aneurysms on brain TOF-MRA | Prediction of outcome using quantified blood volume in aneurysmal SAH
9,PCD-CT Neural Analysis,"Leverages photon-counting detector CT and deep learning models like CNNs and vision transformers for high-resolution, automated detection and segmentation of spinal pathologies including fractures, stenosis, and nerve structures.",11,209,"pcd, photon counting, photon, counting, ct, kernel, eid, cnn, qr89, myelography, detector ct, ct myelography","Ct cervical spine fracture detection using a convolutional neural network | Deep learning–based automatic segmentation of lumbosacral nerves on CT for spinal intervention: A translational study | Clinical Validation and Extension of an Automated, Deep Learning–Based Algorithm for Quantitative Sinus CT Analysis | High-Resolution Head CTA: A Prospective Patient Study Comparing Image Quality of Photon-Counting Detector CT and Energy-Integrating Detector CT | Automated Detection of Cervical Spinal Stenosis and Cord Compression via Vision Transformer and Rules-Based Classification"
7,Synthetic MRI Generation,"This cluster focuses on using deep learning, particularly GANs, to generate high-quality synthetic MRI sequences like STIR and FLAIR from non-contrast or conventional MRI data, improving image quality and reducing artifacts.",8,149,"synthetic, stir, images, gan, using, created stir, dce mri, synthetically created, synthetic flair, synthetically, artifacts, dce","Improving the quality of synthetic FLAIR images with deep learning using a conditional generative adversarial network for pixel-by-pixel image translation | Correction of motion artifacts using a multiscale fully convolutional neural network | Deep Learning–Generated Synthetic MR Imaging STIR Spine Images Are Superior in Image Quality and Diagnostically Equivalent to Conventional STIR: A Multicenter, Multireader Trial | Synthesizing Contrast-Enhanced MR Images from Noncontrast MR Images Using Deep Learning | AI-Generated Synthetic STIR of the Lumbar Spine from T1 and T2 MRI Sequences Trained with Open-Source Algorithms"
1,Fetal Brain Development,"This cluster focuses on AI-driven analysis of fetal brain structure, gyrification, and volumetric development across gestational ages, with applications in detecting malformations like polymicrogyria and lissencephaly and guiding postnatal intervention.",7,94,"fetal, fetuses, fetal brain, brain, gestational, gyrification, postnatal, lissencephaly, gestational ages, postnatal intervention, polymicrogyria, intracranial brain",Automated 3D Fetal Brain Segmentation Using an Optimized Deep Learning Approach | Automatic Quantification of Normal Brain Gyrification Patterns and Changes in Fetuses with Polymicrogyria and Lissencephaly Based on MRI | Development of Gestational Age-Based Fetal Brain and Intracranial Volume Reference Norms Using Deep Learning | Automatic Localization of the Pons and Vermis on Fetal Brain MR Imaging Using a U-Net Deep Learning Model | Pediatric head CT: Automated quantitative analysis with quantile regression
0,MS Radiomics & Progression,"Machine learning and radiomics integrate MRI features like cortical lesions, white matter burden, and mosaic patterns to predict multiple sclerosis progression and clinical outcomes in patients.",7,54,"ms, patients ms, gm, mosaic, wml, mosaic approach, patients, cpr, patch, multiple sclerosis, cortical, burden",A combined radiomics and machine learning approach to overcome the clinicoradiologic paradox in multiple sclerosis | A Radiomic “Warning Sign” of Progression on Brain MRI in Individuals with MS | Fully Automatic Method for Reliable Spinal Cord Compartment Segmentation in Multiple Sclerosis | Choroid Plexus Enlargement in Multiple Sclerosis Correlates with Cortical and Phase Rim Lesions on 7T MRI and Predicts Progression Independent of Relapse Activity | Predicting 10-Year Clinical Outcomes in MS with Radiomics-Based Machine Learning Models
